Nama,Judul,Abstrak,Tahun
"ALIYAH, MASAYU SAKINAH",SISTEM INFORMASI MONITORING PEMINJAMAN DAN PENGEMBALIAN ARSIP PERTANAHAN MENGGUNAKAN METODE RAPID APPLICATION DEVELOPMENT (RAD).,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik SISTEM INFORMASI MONITORING PEMINJAMAN DAN PENGEMBALIAN ARSIP PERTANAHAN MENGGUNAKAN METODE RAPID APPLICATION DEVELOPMENT (RAD). Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE RAPID APPLICATION DEVELOPMENT. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"ALMALIK, BIMO",SISTEM INFORMASI INVENTORY BARANG (STUDI KASUS : CV. MULTIKOM.,"Penelitian yang dilakukan pada tahun 2019 ini berfokus pada topik SISTEM INFORMASI INVENTORY BARANG (STUDI KASUS : CV. MULTIKOM. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2019
"ALMUNTASIR HAQ, HAQ",SISTEM INFORMASI MONITORING DISTRIBUSI  PENERIMA ZAKAT PADA MASJID AGUNG PALEMBANG.,"Penelitian yang dilakukan pada tahun 2019 ini berfokus pada topik SISTEM INFORMASI MONITORING DISTRIBUSI  PENERIMA ZAKAT PADA MASJID AGUNG PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2019
"AMINI, SIWI PELITA",ANALISIS MANAJEMEN RISIKO PENGGUNAAN SISTEM INFORMASI PERPUSTAKAAN MENGGUNAKAN METODE OCTAVE ALLEGRO.,"Penelitian yang dilakukan pada tahun 2023 ini berfokus pada topik ANALISIS MANAJEMEN RISIKO PENGGUNAAN SISTEM INFORMASI PERPUSTAKAAN MENGGUNAKAN METODE OCTAVE ALLEGRO. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE OCTAVE ALLEGRO. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2023
"AMRI, M. ULIL",INFORMATION SYSTEM SELECTION FOR PROSPECTIVE STUDENTS IN SMK SWAKARYA PALEMBANG.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik INFORMATION SYSTEM SELECTION FOR PROSPECTIVE STUDENTS IN SMK SWAKARYA PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"ANDINI, AYU",PERENCANAAN STRATEGIS SISTEM INFORMASI SMAN SUMATERA SELATAN MENGGUNAKAN METODE ANITA CASSDY.,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik PERENCANAAN STRATEGIS SISTEM INFORMASI SMAN SUMATERA SELATAN MENGGUNAKAN METODE ANITA CASSDY. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE ANITA CASSDY. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"ANGGRAINI, DINDA",SISTEM INFORMASI TRACER STUDY STIA BALA PUTRA DEWA PALEMBANG.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik SISTEM INFORMASI TRACER STUDY STIA BALA PUTRA DEWA PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"ANHANDARI, AKYUNI",ANALISIS KEPUASAN PENGGUNA DALAM PENERAPAN  SISTEM INFORMASI AKADEMIK MENGGUNAKAN  METODE KANO (STUDI KASUS: UNIVERSITAS  TRIDINANTI PALEMBANG).,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik ANALISIS KEPUASAN PENGGUNA DALAM PENERAPAN  SISTEM INFORMASI AKADEMIK MENGGUNAKAN  METODE KANO (STUDI KASUS: UNIVERSITAS  TRIDINANTI PALEMBANG). Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE KANO. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"APRILIA HUMAIRO, REZA",ANALISIS USABILITY PORTAL WEB DISKOMINFO KOTA PRABUMULIH MENGGUNAKAN NIELSEN MODEL.,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik ANALISIS USABILITY PORTAL WEB DISKOMINFO KOTA PRABUMULIH MENGGUNAKAN NIELSEN MODEL. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan NIELSEN MODEL. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"APRILIANI, RENI",SISTEM INFORMASI ADMINISTRASI BERBASIS WEB PADA SEKOLAH DASAR ISLAM TERPADU  FATHONA PALEMBANG.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik SISTEM INFORMASI ADMINISTRASI BERBASIS WEB PADA SEKOLAH DASAR ISLAM TERPADU  FATHONA PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"APRIYANTI, SWITA",SISTEM INFORMASI ADMINISTRASI BERBASIS WEB  PADA PONDOK PESANTREN TADABBUR AL-QURAN  PALEMBANG.,"Penelitian yang dilakukan pada tahun 2019 ini berfokus pada topik SISTEM INFORMASI ADMINISTRASI BERBASIS WEB  PADA PONDOK PESANTREN TADABBUR AL-QURAN  PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2019
"ARDIAN, RIKY",SISTEM INFORMASI KEPEGAWAIAN PADA PT. SURYA BUMI AGROLANGGENG BERBASIS WEB.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik SISTEM INFORMASI KEPEGAWAIAN PADA PT. SURYA BUMI AGROLANGGENG BERBASIS WEB. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
